Liczba epok,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,37589.59,127,78,61.95
20,37639.86,127,78,61.95
30,38337.27,127,78,61.95
50,40343.8,127,78,61.95
100,41011.84,172,33,83.9
150,44428.4,180,25,87.8
200,45235.98,176,29,85.85
250,58815.38,174,31,84.88
300,45858.95,145,60,70.73
350,52887.38,181,24,88.29
400,64946.18,181,24,88.29
450,58938.18,175,30,85.37
500,62195.4,169,36,82.44
10,38148.87,127,78,61.95
20,40147.03,127,78,61.95
30,39657.6,179,26,87.32
50,40223.09,168,37,81.95
100,41655.67,180,25,87.8
150,43913.08,170,35,82.93
200,43800.66,173,32,84.39
250,46707.73,177,28,86.34
300,47900.05,178,27,86.83
350,49718.55,178,27,86.83
400,114197.74,174,31,84.88
450,46436.62,170,35,82.93
500,53324.05,174,31,84.88
10,39838.0,127,78,61.95
20,39534.19,127,78,61.95
30,40337.54,127,78,61.95
50,47690.04,174,31,84.88
100,49470.48,144,61,70.24
150,50282.31,171,34,83.41
200,49744.64,178,27,86.83
250,56744.97,176,29,85.85
300,51532.34,181,24,88.29
350,53979.88,172,33,83.9
400,64421.15,180,25,87.8
450,66387.63,176,29,85.85
500,54341.36,78,127,38.05
10,40495.16,127,78,61.95
20,41289.84,127,78,61.95
30,41667.96,127,78,61.95
50,42354.56,171,34,83.41
100,51881.91,127,78,61.95
150,46306.53,174,31,84.88
200,48626.39,175,30,85.37
250,56070.26,178,27,86.83
300,49966.06,178,27,86.83
350,47347.48,127,78,61.95
400,53972.64,175,30,85.37
450,53701.23,176,29,85.85
500,66549.04,177,28,86.34
