Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,0.01,853.16,127,78,61.95
10,0.2,845.0,127,78,61.95
10,0.4,845.65,127,78,61.95
10,0.6,838.26,127,78,61.95
10,0.9,834.14,127,78,61.95
20,0.01,869.01,127,78,61.95
20,0.2,858.86,127,78,61.95
20,0.4,857.8,127,78,61.95
20,0.6,849.72,127,78,61.95
20,0.9,855.28,127,78,61.95
50,0.01,900.66,127,78,61.95
50,0.2,889.38,127,78,61.95
50,0.4,889.95,127,78,61.95
50,0.6,875.51,127,78,61.95
50,0.9,874.65,127,78,61.95
100,0.01,891.72,127,78,61.95
100,0.2,2607.89,127,78,61.95
100,0.4,922.11,127,78,61.95
100,0.6,928.67,127,78,61.95
100,0.9,918.72,127,78,61.95
200,0.01,969.87,78,127,38.05
200,0.2,959.22,127,78,61.95
200,0.4,2398.3,127,78,61.95
200,0.6,983.41,127,78,61.95
200,0.9,973.72,127,78,61.95
500,0.01,1218.2,127,78,61.95
500,0.2,3286.9,127,78,61.95
500,0.4,1866.28,127,78,61.95
500,0.6,1772.5,127,78,61.95
500,0.9,1277.1,127,78,61.95
1000,0.01,1947.56,127,78,61.95
1000,0.2,1470.47,127,78,61.95
1000,0.4,1461.3,127,78,61.95
1000,0.6,1505.96,127,78,61.95
1000,0.9,1459.88,127,78,61.95
2000,0.01,2090.5,127,78,61.95
2000,0.2,2075.47,127,78,61.95
2000,0.4,2138.62,127,78,61.95
2000,0.6,2069.88,127,78,61.95
2000,0.9,2153.82,127,78,61.95
5000,0.01,3956.83,127,78,61.95
5000,0.2,3987.54,127,78,61.95
5000,0.4,3987.99,127,78,61.95
5000,0.6,4459.73,127,78,61.95
5000,0.9,5965.53,127,78,61.95
10000,0.01,7195.01,127,78,61.95
10000,0.2,7252.29,127,78,61.95
10000,0.4,7446.04,127,78,61.95
10000,0.6,8064.5,127,78,61.95
10000,0.9,7225.91,127,78,61.95
20000,0.01,13365.27,127,78,61.95
20000,0.2,13249.12,127,78,61.95
20000,0.4,14372.34,127,78,61.95
20000,0.6,13438.34,127,78,61.95
20000,0.9,13370.98,127,78,61.95
50000,0.01,31693.91,127,78,61.95
50000,0.2,33643.57,127,78,61.95
50000,0.4,32152.62,170,35,82.93
50000,0.6,32065.6,127,78,61.95
50000,0.9,32042.7,127,78,61.95
10,0.01,836.12,127,78,61.95
10,0.2,840.91,127,78,61.95
10,0.4,836.2,127,78,61.95
10,0.6,838.75,127,78,61.95
10,0.9,838.61,127,78,61.95
20,0.01,842.81,78,127,38.05
20,0.2,845.72,127,78,61.95
20,0.4,848.71,127,78,61.95
20,0.6,860.28,127,78,61.95
20,0.9,850.63,127,78,61.95
50,0.01,877.42,78,127,38.05
50,0.2,876.93,127,78,61.95
50,0.4,860.05,127,78,61.95
50,0.6,872.86,127,78,61.95
50,0.9,868.25,127,78,61.95
100,0.01,898.89,78,127,38.05
100,0.2,2572.77,127,78,61.95
100,0.4,906.19,127,78,61.95
100,0.6,905.98,127,78,61.95
100,0.9,901.55,127,78,61.95
200,0.01,956.03,127,78,61.95
200,0.2,2322.89,127,78,61.95
200,0.4,964.71,127,78,61.95
200,0.6,959.35,127,78,61.95
200,0.9,952.57,127,78,61.95
500,0.01,2115.16,127,78,61.95
500,0.2,1143.08,127,78,61.95
500,0.4,1138.35,127,78,61.95
500,0.6,1145.25,127,78,61.95
500,0.9,1131.8,127,78,61.95
1000,0.01,1447.16,127,78,61.95
1000,0.2,1447.95,127,78,61.95
1000,0.4,1439.56,127,78,61.95
1000,0.6,1443.35,127,78,61.95
1000,0.9,1445.34,127,78,61.95
2000,0.01,2059.67,127,78,61.95
2000,0.2,2051.45,127,78,61.95
2000,0.4,2048.16,127,78,61.95
2000,0.6,2045.98,127,78,61.95
2000,0.9,2053.1,127,78,61.95
5000,0.01,3893.67,127,78,61.95
5000,0.2,3905.07,127,78,61.95
5000,0.4,3895.29,127,78,61.95
5000,0.6,4906.58,127,78,61.95
5000,0.9,3923.25,127,78,61.95
10000,0.01,6947.64,127,78,61.95
10000,0.2,6954.0,127,78,61.95
10000,0.4,7981.55,127,78,61.95
10000,0.6,7012.73,127,78,61.95
10000,0.9,7009.51,127,78,61.95
20000,0.01,13047.47,127,78,61.95
20000,0.2,14207.67,127,78,61.95
20000,0.4,13157.13,127,78,61.95
20000,0.6,13169.65,127,78,61.95
20000,0.9,13173.64,127,78,61.95
50000,0.01,35796.37,127,78,61.95
50000,0.2,35086.29,127,78,61.95
50000,0.4,35652.01,127,78,61.95
50000,0.6,35697.0,127,78,61.95
50000,0.9,35677.41,127,78,61.95
10,0.01,859.31,78,127,38.05
10,0.2,863.29,127,78,61.95
10,0.4,850.01,78,127,38.05
10,0.6,851.07,127,78,61.95
10,0.9,838.09,127,78,61.95
20,0.01,835.19,78,127,38.05
20,0.2,830.84,127,78,61.95
20,0.4,2586.18,127,78,61.95
20,0.6,988.63,127,78,61.95
20,0.9,928.0,127,78,61.95
50,0.01,863.94,127,78,61.95
50,0.2,856.44,127,78,61.95
50,0.4,883.27,127,78,61.95
50,0.6,885.24,127,78,61.95
50,0.9,2597.94,127,78,61.95
100,0.01,900.24,127,78,61.95
100,0.2,908.26,127,78,61.95
100,0.4,907.63,127,78,61.95
100,0.6,890.25,127,78,61.95
100,0.9,891.88,127,78,61.95
200,0.01,1324.71,127,78,61.95
200,0.2,1135.95,127,78,61.95
200,0.4,1014.14,127,78,61.95
200,0.6,1039.99,127,78,61.95
200,0.9,2413.6,127,78,61.95
500,0.01,1368.3,127,78,61.95
500,0.2,1224.24,127,78,61.95
500,0.4,1352.54,127,78,61.95
500,0.6,2231.51,127,78,61.95
500,0.9,1201.01,127,78,61.95
1000,0.01,1491.12,127,78,61.95
1000,0.2,2829.38,127,78,61.95
1000,0.4,1649.27,127,78,61.95
1000,0.6,1827.55,127,78,61.95
1000,0.9,1509.27,127,78,61.95
2000,0.01,3378.87,127,78,61.95
2000,0.2,2185.72,127,78,61.95
2000,0.4,2135.34,127,78,61.95
2000,0.6,2107.77,127,78,61.95
2000,0.9,2074.35,127,78,61.95
5000,0.01,4075.23,127,78,61.95
5000,0.2,3948.61,127,78,61.95
