Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,,Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
100,0.01,573.69,127,78,61.95,,,,,,,,
100,0.2,586.5,127,78,61.95,,,,,,,,
100,0.4,584.56,127,78,61.95,,,,,,,,
100,0.6,572.68,127,78,61.95,,,,,,,,
100,0.9,583,127,78,61.95,,,,,,,,
200,0.01,621.83,78,127,38.05,,,,,,,,
200,0.2,636.99,127,78,61.95,,,,,,,,
200,0.4,633.11,127,78,61.95,,,,,,,,
200,0.6,621.53,127,78,61.95,,,,,,,,
200,0.9,625.84,127,78,61.95,,,,,,,,
500,0.01,764.6,127,78,61.95,,,,,,,,
500,0.2,765.45,127,78,61.95,,,,,,,,
500,0.4,756.41,127,78,61.95,,,,,,,,
500,0.6,767.77,127,78,61.95,,,,,,,,
500,0.9,761.28,127,78,61.95,,,,,,,,
1000,0.01,994.89,127,78,61.95,,,,,,,,
1000,0.2,999.94,127,78,61.95,,,,,,,,
1000,0.4,1935.44,127,78,61.95,,,,,,,,
1000,0.6,1014.1,127,78,61.95,,,,,,,,
1000,0.9,1002.95,127,78,61.95,,,,,,,,
2000,0.01,2439.09,127,78,61.95,,,,,,,,
2000,0.2,1471.93,127,78,61.95,,,,,,,,
2000,0.4,1615.45,127,78,61.95,,,,,,,,
2000,0.6,1472.76,127,78,61.95,,,,,,,,
2000,0.9,1482.53,177,28,86.34,,,,,,,,
5000,0.01,2867.86,127,78,61.95,,,,,,,,
5000,0.2,2871.66,127,78,61.95,,,,,,,,
5000,0.4,2881.71,127,78,61.95,,,,,,,,
5000,0.6,2877.99,127,78,61.95,,,,,,,,
5000,0.9,2863.06,174,31,84.88,,,,,,,,
10000,0.01,5217.62,127,78,61.95,,,,,,,,
10000,0.2,5195.56,127,78,61.95,,,,,,,,
10000,0.4,5179.65,175,30,85.37,,,,,,,,
10000,0.6,5199.56,176,29,85.85,,,,,,,,
10000,0.9,5180.87,177,28,86.34,,,,,,,,
20000,0.01,9868.01,127,78,61.95,,,,,,,,
20000,0.2,9876.54,176,29,85.85,,,,,,,,
20000,0.4,9862.45,177,28,86.34,,,,,,,,
20000,0.6,9810.79,178,27,86.83,,,,,,,,
20000,0.9,9837.45,177,28,86.34,,,,,,,,
50000,0.01,23894.3,127,78,61.95,,,,,,,,
50000,0.2,30186.45,177,28,86.34,,,,,,,,
50000,0.4,35438.78,180,25,87.8,,,,,,,,
50000,0.6,30175.33,179,26,87.32,,,,,,,,
50000,0.9,33490.39,179,26,87.32,,,,,,,,
10,0.01,537.31,78,127,38.05,,,,,,,,
10,0.2,540.86,78,127,38.05,,,,,,,,
10,0.4,537.98,127,78,61.95,,,,,,,,
10,0.6,2004.96,127,78,61.95,,,,,,,,
10,0.9,564.46,127,78,61.95,,,,,,,,
20,0.01,540.42,127,78,61.95,,,,,,,,
20,0.2,536.89,127,78,61.95,,,,,,,,
20,0.4,539.46,127,78,61.95,,,,,,,,
20,0.6,542.22,127,78,61.95,,,,,,,,
20,0.9,537.54,127,78,61.95,,,,,,,,
50,0.01,575.93,127,78,61.95,,,,,,,,
50,0.2,564.87,127,78,61.95,,,,,,,,
50,0.4,561.99,127,78,61.95,,,,,,,,
50,0.6,561.87,127,78,61.95,,,,,,,,
50,0.9,568.42,127,78,61.95,,,,,,,,
100,0.01,594.59,78,127,38.05,,,,,,,,
100,0.2,592.32,127,78,61.95,,,,,,,,
100,0.4,588.13,127,78,61.95,,,,,,,,
100,0.6,584.89,127,78,61.95,,,,,,,,
100,0.9,593.07,127,78,61.95,,,,,,,,
200,0.01,656.65,78,127,38.05,,,,,,,,
200,0.2,650.55,127,78,61.95,,,,,,,,
200,0.4,665.68,127,78,61.95,,,,,,,,
200,0.6,635.42,127,78,61.95,,,,,,,,
200,0.9,652.37,127,78,61.95,,,,,,,,
500,0.01,805.96,127,78,61.95,,,,,,,,
500,0.2,928.7,127,78,61.95,,,,,,,,
500,0.4,798.16,127,78,61.95,,,,,,,,
500,0.6,985.98,127,78,61.95,,,,,,,,
500,0.9,1074.37,127,78,61.95,,,,,,,,
1000,0.01,1056.32,127,78,61.95,,,,,,,,
1000,0.2,1047.45,127,78,61.95,,,,,,,,
1000,0.4,1016.22,127,78,61.95,,,,,,,,
1000,0.6,1008.73,127,78,61.95,,,,,,,,
1000,0.9,1004.27,127,78,61.95,,,,,,,,
2000,0.01,1566.4,127,78,61.95,,,,,,,,
2000,0.2,1516.1,127,78,61.95,,,,,,,,
2000,0.4,1667.37,127,78,61.95,,,,,,,,
2000,0.6,1597.36,127,78,61.95,,,,,,,,
2000,0.9,1531.45,127,78,61.95,,,,,,,,
5000,0.01,3146.73,127,78,61.95,,,,,,,,
5000,0.2,2978.47,127,78,61.95,,,,,,,,
5000,0.4,3867.16,127,78,61.95,,,,,,,,
5000,0.6,2905.16,127,78,61.95,,,,,,,,
5000,0.9,2891.69,176,29,85.85,,,,,,,,
10000,0.01,6276.59,127,78,61.95,,,,,,,,
10000,0.2,5243.07,127,78,61.95,,,,,,,,
10000,0.4,5241.41,127,78,61.95,,,,,,,,
10000,0.6,5246.7,176,29,85.85,,,,,,,,
10000,0.9,5253.95,177,28,86.34,,,,,,,,
20000,0.01,10226.34,127,78,61.95,,,,,,,,
20000,0.2,11422.91,127,78,61.95,,,,,,,,
20000,0.4,10855.81,177,28,86.34,,,,,,,,
20000,0.6,11577.71,177,28,86.34,,,,,,,,
20000,0.9,11272.94,179,26,87.32,,,,,,,,
50000,0.01,25134.37,127,78,61.95,,,,,,,,
50000,0.2,29859.15,178,27,86.83,,,,,,,,
50000,0.4,24332.46,180,25,87.8,,,,,,,,
50000,0.6,24063.82,179,26,87.32,,,,,,,,
50000,0.9,24217.19,179,26,87.32,,,,,,,,
10,0.01,794.33,127,78,61.95,,,,,,,,
10,0.2,797.05,78,127,38.05,,,,,,,,
10,0.4,605.86,127,78,61.95,,,,,,,,
10,0.6,617.01,127,78,61.95,,,,,,,,
10,0.9,687.41,127,78,61.95,,,,,,,,
20,0.01,568.32,78,127,38.05,,,,,,,,
20,0.2,564.44,78,127,38.05,,,,,,,,
20,0.4,588.29,127,78,61.95,,,,,,,,
20,0.6,573.37,127,78,61.95,,,,,,,,
20,0.9,561.35,127,78,61.95,,,,,,,,
50,0.01,577.82,127,78,61.95,,,,,,,,
50,0.2,581.16,127,78,61.95,,,,,,,,
50,0.4,599.89,127,78,61.95,,,,,,,,
50,0.6,628.32,127,78,61.95,,,,,,,,
50,0.9,599.19,127,78,61.95,,,,,,,,
100,0.01,600.51,78,127,38.05,,,,,,,,
100,0.2,2417.44,127,78,61.95,,,,,,,,
100,0.4,625.01,127,78,61.95,,,,,,,,
100,0.6,627.85,127,78,61.95,,,,,,,,
100,0.9,637.88,127,78,61.95,,,,,,,,
200,0.01,661.28,127,78,61.95,,,,,,,,
200,0.2,669.74,127,78,61.95,,,,,,,,
200,0.4,2084.38,127,78,61.95,,,,,,,,
200,0.6,654.02,127,78,61.95,,,,,,,,
200,0.9,671.61,127,78,61.95,,,,,,,,
500,0.01,833.12,78,127,38.05,,,,,,,,
500,0.2,803.68,127,78,61.95,,,,,,,,
500,0.4,779.99,127,78,61.95,,,,,,,,
500,0.6,836.16,127,78,61.95,,,,,,,,
500,0.9,799.3,127,78,61.95,,,,,,,,
1000,0.01,1071.35,127,78,61.95,,,,,,,,
1000,0.2,1193.21,127,78,61.95,,,,,,,,
1000,0.4,1080.97,127,78,61.95,,,,,,,,
1000,0.6,1118.91,127,78,61.95,,,,,,,,
1000,0.9,1046.93,127,78,61.95,,,,,,,,
2000,0.01,1920.38,127,78,61.95,,,,,,,,
2000,0.2,1765.83,127,78,61.95,,,,,,,,
2000,0.4,1566.87,127,78,61.95,,,,,,,,
2000,0.6,1724.67,127,78,61.95,,,,,,,,
2000,0.9,1680.85,179,26,87.32,,,,,,,,
5000,0.01,3276.95,127,78,61.95,,,,,,,,
5000,0.2,3101.93,127,78,61.95,,,,,,,,
5000,0.4,3065.7,127,78,61.95,,,,,,,,
5000,0.6,3064.69,177,28,86.34,,,,,,,,
5000,0.9,3733.34,176,29,85.85,,,,,,,,
10000,0.01,7383.1,127,78,61.95,,,,,,,,
10000,0.2,6774.82,127,78,61.95,,,,,,,,
10000,0.4,5503.79,127,78,61.95,,,,,,,,
10000,0.6,5523.48,177,28,86.34,,,,,,,,
10000,0.9,6758.43,177,28,86.34,,,,,,,,
20000,0.01,11532.6,127,78,61.95,,,,,,,,
20000,0.2,11318.54,179,26,87.32,,,,,,,,
20000,0.4,10657.95,176,29,85.85,,,,,,,,
20000,0.6,13247.2,177,28,86.34,,,,,,,,
20000,0.9,12056.94,179,26,87.32,,,,,,,,
50000,0.01,24732.29,127,78,61.95,,,,,,,,
50000,0.2,24475.6,176,29,85.85,,,,,,,,
50000,0.4,24559.67,180,25,87.8,,,,,,,,
50000,0.6,24682.68,179,26,87.32,,,,,,,,
50000,0.9,24527.01,177,28,86.34,,,,,,,,
