Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,,Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
500,0.01,612.21,127,78,61.95,,,500,0.01,650.95,127.00,78.00,61.95
500,0.2,595.13,175,30,85.37,,,500,0.2,649.90,177.00,28.00,86.34
500,0.4,601.5,178,27,86.83,,,500,0.4,673.87,151.75,53.25,74.03
500,0.6,614.48,172,33,83.9,,,500,0.6,703.71,175.75,29.25,85.73
500,0.9,590.6,178,27,86.83,,,500,0.9,670.64,152.50,52.50,74.39
1000,0.01,1765.37,127,78,61.95,,,1000,0.01,1149.49,127.00,78.00,61.95
1000,0.2,814.65,177,28,86.34,,,1000,0.2,920.01,177.00,28.00,86.34
1000,0.4,801.78,176,29,85.85,,,1000,0.4,1192.91,176.75,28.25,86.22
1000,0.6,780.67,127,78,61.95,,,1000,0.6,1002.77,163.25,41.75,79.63
1000,0.9,786.44,171,34,83.41,,,1000,0.9,939.26,175.75,29.25,85.73
2000,0.01,1230.29,146,59,71.22,,,2000,0.01,1335.98,147.00,58.00,71.71
2000,0.2,1192.01,177,28,86.34,,,2000,0.2,1337.38,177.00,28.00,86.34
2000,0.4,1189.77,176,29,85.85,,,2000,0.4,1632.11,176.75,28.25,86.22
2000,0.6,1179.37,175,30,85.37,,,2000,0.6,1414.70,178.75,26.25,87.20
2000,0.9,1217.13,180,25,87.8,,,2000,0.9,1435.82,154.25,50.75,75.24
5000,0.01,2323.74,174,31,84.88,,,5000,0.01,2586.42,175.00,30.00,85.37
5000,0.2,2350.41,181,24,88.29,,,5000,0.2,2640.11,178.25,26.75,86.95
5000,0.4,3270.78,182,23,88.78,,,5000,0.4,3189.39,180.25,24.75,87.93
5000,0.6,2439.31,186,19,90.73,,,5000,0.6,2648.92,182.00,23.00,88.78
5000,0.9,2314.46,173,32,84.39,,,5000,0.9,2436.76,166.25,38.75,81.10
10000,0.01,4399.35,178,27,86.83,,,10000,0.01,4791.53,177.50,27.50,86.59
10000,0.2,4402.52,182,23,88.78,,,10000,0.2,4539.39,181.00,24.00,88.29
10000,0.4,4357.62,180,25,87.8,,,10000,0.4,4542.71,184.00,21.00,89.76
10000,0.6,4380.68,184,21,89.76,,,10000,0.6,4597.79,180.00,25.00,87.81
10000,0.9,4411.99,178,27,86.83,,,10000,0.9,4579.13,169.00,36.00,82.44
20000,0.01,8324.24,177,28,86.34,,,20000,0.01,9163.55,177.25,27.75,86.46
20000,0.2,8302.77,182,23,88.78,,,20000,0.2,8945.27,183.75,21.25,89.64
20000,0.4,8197.23,177,28,86.34,,,20000,0.4,8967.42,181.00,24.00,88.29
20000,0.6,8189.81,184,21,89.76,,,20000,0.6,8911.77,154.50,50.50,75.37
20000,0.9,8136.49,179,26,87.32,,,20000,0.9,8626.25,154.50,50.50,75.37
50000,0.01,20288.14,177,28,86.34,,,50000,0.01,21062.97,177.00,28.00,86.34
50000,0.2,20165.91,175,30,85.37,,,50000,0.2,21529.07,182.00,23.00,88.78
50000,0.4,20106.37,186,19,90.73,,,50000,0.4,20957.36,185.50,19.50,90.49
50000,0.6,20285.31,184,21,89.76,,,50000,0.6,21011.20,181.00,24.00,88.29
50000,0.9,19875.61,189,16,92.2,,,50000,0.9,20643.20,168.75,36.25,82.32
10,0.01,501.29,126,79,61.46,,,,,,,,
10,0.2,440.24,127,78,61.95,,,,,,,,
10,0.4,443.42,127,78,61.95,,,,,,,,
10,0.6,441.81,127,78,61.95,,,,,,,,
10,0.9,437.42,127,78,61.95,,,,,,,,
20,0.01,454.73,127,78,61.95,,,,,,,,
20,0.2,448.57,127,78,61.95,,,,,,,,
20,0.4,452.4,127,78,61.95,,,,,,,,
20,0.6,444.41,127,78,61.95,,,,,,,,
20,0.9,448.89,127,78,61.95,,,,,,,,
50,0.01,452.89,127,78,61.95,,,,,,,,
50,0.2,456.14,127,78,61.95,,,,,,,,
50,0.4,455.56,127,78,61.95,,,,,,,,
50,0.6,454.44,134,71,65.37,,,,,,,,
50,0.9,469.86,175,30,85.37,,,,,,,,
100,0.01,478.25,127,78,61.95,,,,,,,,
100,0.2,1738.84,172,33,83.9,,,,,,,,
100,0.4,494.69,173,32,84.39,,,,,,,,
100,0.6,500.13,177,28,86.34,,,,,,,,
100,0.9,487.85,169,36,82.44,,,,,,,,
200,0.01,524.66,127,78,61.95,,,,,,,,
200,0.2,526.87,174,31,84.88,,,,,,,,
200,0.4,530.46,173,32,84.39,,,,,,,,
200,0.6,537.2,175,30,85.37,,,,,,,,
200,0.9,534.64,139,66,67.8,,,,,,,,
500,0.01,642.83,127,78,61.95,,,,,,,,
500,0.2,642.59,177,28,86.34,,,,,,,,
500,0.4,639.65,174,31,84.88,,,,,,,,
500,0.6,643.4,177,28,86.34,,,,,,,,
500,0.9,642.13,177,28,86.34,,,,,,,,
1000,0.01,883.62,127,78,61.95,,,,,,,,
1000,0.2,888.65,177,28,86.34,,,,,,,,
1000,0.4,891.07,177,28,86.34,,,,,,,,
1000,0.6,871.76,173,32,84.39,,,,,,,,
1000,0.9,877.27,176,29,85.85,,,,,,,,
2000,0.01,1299.23,158,47,77.07,,,,,,,,
2000,0.2,1304.67,177,28,86.34,,,,,,,,
2000,0.4,1277.68,179,26,87.32,,,,,,,,
2000,0.6,1272.75,179,26,87.32,,,,,,,,
2000,0.9,1362.81,127,78,61.95,,,,,,,,
5000,0.01,2539.32,176,29,85.85,,,,,,,,
5000,0.2,2520.22,178,27,86.83,,,,,,,,
5000,0.4,3806.09,180,25,87.8,,,,,,,,
5000,0.6,2658.6,177,28,86.34,,,,,,,,
5000,0.9,2661.86,185,20,90.24,,,,,,,,
10000,0.01,4933.91,177,28,86.34,,,,,,,,
10000,0.2,4763.67,180,25,87.8,,,,,,,,
10000,0.4,4764.72,187,18,91.22,,,,,,,,
10000,0.6,4777.19,179,26,87.32,,,,,,,,
10000,0.9,5168.07,187,18,91.22,,,,,,,,
20000,0.01,9200.32,177,28,86.34,,,,,,,,
20000,0.2,8913.48,183,22,89.27,,,,,,,,
20000,0.4,8981.03,179,26,87.32,,,,,,,,
20000,0.6,8865.07,175,30,85.37,,,,,,,,
20000,0.9,8556.86,127,78,61.95,,,,,,,,
50000,0.01,22328.48,177,28,86.34,,,,,,,,
50000,0.2,22403.06,180,25,87.8,,,,,,,,
50000,0.4,21826.64,185,20,90.24,,,,,,,,
50000,0.6,22253.27,186,19,90.73,,,,,,,,
50000,0.9,21927.34,185,20,90.24,,,,,,,,
10,0.01,439.82,127,78,61.95,,,,,,,,
10,0.2,435.77,127,78,61.95,,,,,,,,
10,0.4,438.83,127,78,61.95,,,,,,,,
10,0.6,421.42,127,78,61.95,,,,,,,,
10,0.9,413.19,127,78,61.95,,,,,,,,
20,0.01,593.91,127,78,61.95,,,,,,,,
20,0.2,594.99,127,78,61.95,,,,,,,,
20,0.4,627.44,127,78,61.95,,,,,,,,
20,0.6,601.84,127,78,61.95,,,,,,,,
20,0.9,2429.45,127,78,61.95,,,,,,,,
50,0.01,454.54,127,78,61.95,,,,,,,,
50,0.2,454.93,127,78,61.95,,,,,,,,
50,0.4,449.19,127,78,61.95,,,,,,,,
50,0.6,448.25,127,78,61.95,,,,,,,,
50,0.9,437.82,78,127,38.05,,,,,,,,
100,0.01,621.47,127,78,61.95,,,,,,,,
100,0.2,591.19,174,31,84.88,,,,,,,,
100,0.4,569.08,176,29,85.85,,,,,,,,
100,0.6,635.84,175,30,85.37,,,,,,,,
100,0.9,603.06,174,31,84.88,,,,,,,,
200,0.01,664.76,127,78,61.95,,,,,,,,
200,0.2,583.11,173,32,84.39,,,,,,,,
200,0.4,508.96,178,27,86.83,,,,,,,,
200,0.6,508.09,177,28,86.34,,,,,,,,
200,0.9,525.42,154,51,75.12,,,,,,,,
500,0.01,623.53,127,78,61.95,,,,,,,,
500,0.2,613.4,178,27,86.83,,,,,,,,
500,0.4,727.29,78,127,38.05,,,,,,,,
500,0.6,834.43,177,28,86.34,,,,,,,,
500,0.9,657.06,177,28,86.34,,,,,,,,
1000,0.01,1020.22,127,78,61.95,,,,,,,,
1000,0.2,960.4,177,28,86.34,,,,,,,,
1000,0.4,1754.78,177,28,86.34,,,,,,,,
1000,0.6,835.32,177,28,86.34,,,,,,,,
1000,0.9,830.13,179,26,87.32,,,,,,,,
2000,0.01,1657.4,127,78,61.95,,,,,,,,
2000,0.2,1347.02,177,28,86.34,,,,,,,,
2000,0.4,1445.83,175,30,85.37,,,,,,,,
2000,0.6,1215.28,180,25,87.8,,,,,,,,
2000,0.9,1132.98,127,78,61.95,,,,,,,,
5000,0.01,3009.81,175,30,85.37,,,,,,,,
5000,0.2,3276.59,175,30,85.37,,,,,,,,
5000,0.4,3298.4,180,25,87.8,,,,,,,,
5000,0.6,3131.07,183,22,89.27,,,,,,,,
5000,0.9,2583.08,180,25,87.8,,,,,,,,
10000,0.01,5563.04,177,28,86.34,,,,,,,,
10000,0.2,4720.01,181,24,88.29,,,,,,,,
10000,0.4,4773.66,183,22,89.27,,,,,,,,
10000,0.6,5051.21,179,26,87.32,,,,,,,,
10000,0.9,4496.2,127,78,61.95,,,,,,,,
20000,0.01,9121.54,177,28,86.34,,,,,,,,
20000,0.2,9096.41,186,19,90.73,,,,,,,,
20000,0.4,9899.82,183,22,89.27,,,,,,,,
20000,0.6,9205.44,181,24,88.29,,,,,,,,
20000,0.9,8764.9,127,78,61.95,,,,,,,,
50000,0.01,20961.08,177,28,86.34,,,,,,,,
50000,0.2,21407.24,187,18,91.22,,,,,,,,
50000,0.4,20631.8,186,19,90.73,,,,,,,,
50000,0.6,20732.65,178,27,86.83,,,,,,,,
50000,0.9,19457.3,127,78,61.95,,,,,,,,
10,0.01,437.93,78,127,38.05,,,,,,,,
10,0.2,414.89,127,78,61.95,,,,,,,,
10,0.4,413.13,127,78,61.95,,,,,,,,
10,0.6,410.31,127,78,61.95,,,,,,,,
10,0.9,408.94,127,78,61.95,,,,,,,,
20,0.01,408.26,75,130,36.59,,,,,,,,
20,0.2,398.99,127,78,61.95,,,,,,,,
20,0.4,411.41,127,78,61.95,,,,,,,,
20,0.6,409.83,127,78,61.95,,,,,,,,
20,0.9,413.41,127,78,61.95,,,,,,,,
50,0.01,413.41,127,78,61.95,,,,,,,,
50,0.2,419.69,127,78,61.95,,,,,,,,
50,0.4,1550.74,127,78,61.95,,,,,,,,
50,0.6,443.76,126,79,61.46,,,,,,,,
50,0.9,434.64,127,78,61.95,,,,,,,,
100,0.01,515.21,127,78,61.95,,,,,,,,
100,0.2,544.75,127,78,61.95,,,,,,,,
100,0.4,579.09,172,33,83.9,,,,,,,,
100,0.6,599.38,173,32,84.39,,,,,,,,
100,0.9,621.91,174,31,84.88,,,,,,,,
200,0.01,485.26,127,78,61.95,,,,,,,,
200,0.2,495.61,172,33,83.9,,,,,,,,
200,0.4,482.6,177,28,86.34,,,,,,,,
200,0.6,469.72,178,27,86.83,,,,,,,,
200,0.9,462.33,78,127,38.05,,,,,,,,
500,0.01,725.22,127,78,61.95,,,,,,,,
500,0.2,748.47,178,27,86.83,,,,,,,,
500,0.4,727.02,177,28,86.34,,,,,,,,
500,0.6,722.52,177,28,86.34,,,,,,,,
500,0.9,792.76,78,127,38.05,,,,,,,,
1000,0.01,928.75,127,78,61.95,,,,,,,,
1000,0.2,1016.33,177,28,86.34,,,,,,,,
1000,0.4,1324,177,28,86.34,,,,,,,,
1000,0.6,1523.34,176,29,85.85,,,,,,,,
1000,0.9,1263.19,177,28,86.34,,,,,,,,
2000,0.01,1156.98,157,48,76.59,,,,,,,,
2000,0.2,1505.83,177,28,86.34,,,,,,,,
2000,0.4,2615.17,177,28,86.34,,,,,,,,
2000,0.6,1991.41,181,24,88.29,,,,,,,,
2000,0.9,2030.36,183,22,89.27,,,,,,,,
5000,0.01,2472.8,175,30,85.37,,,,,,,,
5000,0.2,2413.23,179,26,87.32,,,,,,,,
5000,0.4,2382.29,179,26,87.32,,,,,,,,
5000,0.6,2366.7,182,23,88.78,,,,,,,,
5000,0.9,2187.64,127,78,61.95,,,,,,,,
10000,0.01,4269.82,178,27,86.83,,,,,,,,
10000,0.2,4271.34,181,24,88.29,,,,,,,,
10000,0.4,4274.83,186,19,90.73,,,,,,,,
10000,0.6,4182.08,178,27,86.83,,,,,,,,
10000,0.9,4240.24,184,21,89.76,,,,,,,,
20000,0.01,10008.08,178,27,86.83,,,,,,,,
20000,0.2,9468.42,184,21,89.76,,,,,,,,
20000,0.4,8791.58,185,20,90.24,,,,,,,,
20000,0.6,9386.77,78,127,38.05,,,,,,,,
20000,0.9,9046.75,185,20,90.24,,,,,,,,
50000,0.01,20674.17,177,28,86.34,,,,,,,,
50000,0.2,22140.07,186,19,90.73,,,,,,,,
50000,0.4,21264.63,185,20,90.24,,,,,,,,
50000,0.6,20773.55,176,29,85.85,,,,,,,,
50000,0.9,21312.56,174,31,84.88,,,,,,,,
