Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,0.01,648.11,127,78,61.95
10,0.2,634.41,127,78,61.95
10,0.4,628.3,127,78,61.95
10,0.6,1673.54,127,78,61.95
10,0.9,643.82,127,78,61.95
20,0.01,658.51,127,78,61.95
20,0.2,654.82,127,78,61.95
20,0.4,644.71,127,78,61.95
20,0.6,631.91,127,78,61.95
20,0.9,635.73,127,78,61.95
50,0.01,656.89,127,78,61.95
50,0.2,661.84,127,78,61.95
50,0.4,655.8,127,78,61.95
50,0.6,660.45,127,78,61.95
50,0.9,660.08,127,78,61.95
100,0.01,1681.14,127,78,61.95
100,0.2,693.91,127,78,61.95
100,0.4,693.61,127,78,61.95
100,0.6,697.8,127,78,61.95
100,0.9,688.22,153,52,74.63
200,0.01,754.65,127,78,61.95
200,0.2,754.7,127,78,61.95
200,0.4,743.61,127,78,61.95
200,0.6,750.66,135,70,65.85
200,0.9,739.68,127,78,61.95
500,0.01,918.14,127,78,61.95
500,0.2,931.43,127,78,61.95
500,0.4,2041.67,110,95,53.66
500,0.6,904.11,127,78,61.95
500,0.9,945.75,132,73,64.39
1000,0.01,1288.27,127,78,61.95
1000,0.2,1223.88,78,127,38.05
1000,0.4,1198.63,125,80,60.98
1000,0.6,1375.81,171,34,83.41
1000,0.9,1163.85,127,78,61.95
2000,0.01,1787.21,127,78,61.95
2000,0.2,1763.82,78,127,38.05
2000,0.4,1816.05,177,28,86.34
2000,0.6,2641.38,127,78,61.95
2000,0.9,1698.93,127,78,61.95
5000,0.01,3643.29,180,25,87.8
5000,0.2,3526.24,127,78,61.95
5000,0.4,3121.97,127,78,61.95
5000,0.6,3130.12,127,78,61.95
5000,0.9,3093.18,127,78,61.95
10000,0.01,6499.75,127,78,61.95
10000,0.2,6218.07,78,127,38.05
10000,0.4,6139.07,127,78,61.95
10000,0.6,5867.76,127,78,61.95
10000,0.9,6411.8,127,78,61.95
20000,0.01,12222.38,177,28,86.34
20000,0.2,14358.49,78,127,38.05
20000,0.4,12554.67,179,26,87.32
20000,0.6,11079.93,127,78,61.95
20000,0.9,10565.26,127,78,61.95
50000,0.01,29684.39,179,26,87.32
50000,0.2,29378.15,127,78,61.95
50000,0.4,29331.59,173,32,84.39
50000,0.6,35463.49,82,123,40.0
50000,0.9,25999.64,127,78,61.95
10,0.01,1797.86,127,78,61.95
10,0.2,720.73,127,78,61.95
10,0.4,731.28,127,78,61.95
10,0.6,709.36,127,78,61.95
10,0.9,712.66,127,78,61.95
20,0.01,706.2,78,127,38.05
20,0.2,715.05,127,78,61.95
20,0.4,701.86,127,78,61.95
20,0.6,699.39,127,78,61.95
20,0.9,693.98,127,78,61.95
50,0.01,709.41,127,78,61.95
50,0.2,1814.24,127,78,61.95
50,0.4,734.79,127,78,61.95
50,0.6,735.46,127,78,61.95
50,0.9,728.59,127,78,61.95
100,0.01,786.59,127,78,61.95
100,0.2,769.82,127,78,61.95
100,0.4,770.86,127,78,61.95
