Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,,Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10000,0.01,9303.6,127,78,61.95,,,,,,,,
10000,0.2,9973.73,159,46,77.56,,,,,,,,
10000,0.4,10700.13,127,78,61.95,,,,,,,,
10000,0.6,10521.21,170,35,82.93,,,,,,,,
10000,0.9,16421.77,158,47,77.07,,,,,,,,
20000,0.01,16346.61,127,78,61.95,,,,,,,,
20000,0.2,14011.82,127,78,61.95,,,,,,,,
20000,0.4,15587.63,161,44,78.54,,,,,,,,
20000,0.6,14005.84,127,78,61.95,,,,,,,,
20000,0.9,14994.53,127,78,61.95,,,,,,,,
50000,0.01,45035.92,127,78,61.95,,,,,,,,
50000,0.2,48797.58,78,127,38.05,,,,,,,,
50000,0.4,36297.18,127,78,61.95,,,,,,,,
50000,0.6,46765.91,173,32,84.39,,,,,,,,
50000,0.9,34556.72,127,78,61.95,,,,,,,,
10,0.01,922.75,78,127,38.05,,,,,,,,
10,0.2,1965.29,127,78,61.95,,,,,,,,
10,0.4,975.66,127,78,61.95,,,,,,,,
10,0.6,906.86,127,78,61.95,,,,,,,,
10,0.9,905.5,127,78,61.95,,,,,,,,
20,0.01,908.43,127,78,61.95,,,,,,,,
20,0.2,919.1,127,78,61.95,,,,,,,,
20,0.4,916.65,127,78,61.95,,,,,,,,
20,0.6,892.47,127,78,61.95,,,,,,,,
20,0.9,883.85,127,78,61.95,,,,,,,,
50,0.01,960.3,127,78,61.95,,,,,,,,
50,0.2,1237.33,127,78,61.95,,,,,,,,
50,0.4,1279.68,127,78,61.95,,,,,,,,
50,0.6,2654.55,127,78,61.95,,,,,,,,
50,0.9,1036.81,127,78,61.95,,,,,,,,
100,0.01,2583.41,127,78,61.95,,,,,,,,
100,0.2,1031.43,127,78,61.95,,,,,,,,
100,0.4,1026.08,127,78,61.95,,,,,,,,
100,0.6,1082.96,127,78,61.95,,,,,,,,
100,0.9,987.98,127,78,61.95,,,,,,,,
200,0.01,1064.9,127,78,61.95,,,,,,,,
200,0.2,1327.4,127,78,61.95,,,,,,,,
200,0.4,1371.92,127,78,61.95,,,,,,,,
200,0.6,1583.59,127,78,61.95,,,,,,,,
200,0.9,2464.3,127,78,61.95,,,,,,,,
500,0.01,1464.49,127,78,61.95,,,,,,,,
500,0.2,1387.85,127,78,61.95,,,,,,,,
500,0.4,2512.06,127,78,61.95,,,,,,,,
500,0.6,1352.65,127,78,61.95,,,,,,,,
500,0.9,1543.37,127,78,61.95,,,,,,,,
1000,0.01,2132.75,127,78,61.95,,,,,,,,
1000,0.2,2969.99,127,78,61.95,,,,,,,,
1000,0.4,2317.83,127,78,61.95,,,,,,,,
1000,0.6,2445.93,127,78,61.95,,,,,,,,
1000,0.9,1751.41,127,78,61.95,,,,,,,,
2000,0.01,2951.72,127,78,61.95,,,,,,,,
2000,0.2,3721.16,127,78,61.95,,,,,,,,
2000,0.4,4267.38,176,29,85.85,,,,,,,,
2000,0.6,4285.26,127,78,61.95,,,,,,,,
2000,0.9,2712.67,175,30,85.37,,,,,,,,
5000,0.01,6563.67,127,78,61.95,,,,,,,,
5000,0.2,4942.88,127,78,61.95,,,,,,,,
5000,0.4,4256.74,171,34,83.41,,,,,,,,
5000,0.6,5702.04,127,78,61.95,,,,,,,,
5000,0.9,4099.14,127,78,61.95,,,,,,,,
10000,0.01,8547.91,127,78,61.95,,,,,,,,
10000,0.2,7581.06,127,78,61.95,,,,,,,,
10000,0.4,8208.77,127,78,61.95,,,,,,,,
10000,0.6,14422.68,154,51,75.12,,,,,,,,
10000,0.9,12572.04,127,78,61.95,,,,,,,,
20000,0.01,17139.42,127,78,61.95,,,,,,,,
20000,0.2,30249.16,173,32,84.39,,,,,,,,
20000,0.4,20441.96,127,78,61.95,,,,,,,,
20000,0.6,14591.15,127,78,61.95,,,,,,,,
20000,0.9,14675.37,127,78,61.95,,,,,,,,
50000,0.01,41686.06,176,29,85.85,,,,,,,,
50000,0.2,48710.26,153,52,74.63,,,,,,,,
50000,0.4,63458.27,78,127,38.05,,,,,,,,
50000,0.6,32398.3,127,78,61.95,,,,,,,,
50000,0.9,32378.24,127,78,61.95,,,,,,,,
